Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,48116,8,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com
Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,Wayne,48180,19,313-288-7937,313-341-4470,yuki_whobrey@aol.com,http://www.farmersinsurancegroup.com
Beckie,Silvestrini,A All American Travel Inc,7116 Western Ave,Dearborn,Wayne,48126,16,313-533-4884,313-390-7855,beckie.silvestrini@silvestrini.com,http://www.aallamericantravelinc.com
Chaya,Malvin,Dunnells & Duvall,560 Civic Center Dr,Ann Arbor,Washtenaw,48103,15,734-928-5182,734-408-8174,chaya@malvin.com,http://www.dunnellsduvall.com
Deonna,Kippley,Midas Muffler Shops,57 Haven Ave #90,Southfield,Oakland,48075,33,248-913-4677,248-793-4966,deonna_kippley@hotmail.com,http://www.midasmufflershops.com
Judy,Aquas,Plantation Restaurant,8977 Connecticut Ave Nw #3,Niles,Berrien,49120,33,269-756-7222,269-431-9464,jaquas@aquas.com,http://www.plantationrestaurant.com
Ligia,Reiber,Floral Expressions,206 Main St #2804,Lansing,Ingham,48933,9,517-906-1108,517-747-7664,lreiber@cox.net,http://www.floralexpressions.com
Cherry,Lietz,Sebring & Co,40 9th Ave Sw #91,Waterford,Oakland,48329,19,248-980-6904,248-697-7722,cherry@lietz.com,http://www.sebringco.com
Dulce,Labreche,Lee Kilkelly Paulson & Kabaker,9581 E Arapahoe Rd,Rochester,Oakland,48307,33,248-357-8718,248-811-5696,dulce_labreche@yahoo.com,http://www.leekilkellypaulsonkabaker.com
Markus,Lukasik,M & M Store Fixtures Co Inc,89 20th St E #779,Sterling Heights,Macomb,48310,21,586-970-7380,586-247-1614,markus@yahoo.com,http://www.mmstorefixturescoinc.com
Sharee,Maile,Holiday Inn Naperville,2094 Montour Blvd,Muskegon,Muskegon,49442,22,231-467-9978,231-265-6940,sharee_maile@aol.com,http://www.holidayinnnaperville.com
Vilma,Berlanga,"Wells, D Fred Esq",79 S Howell Ave,Grand Rapids,Kent,49546,43,616-737-3085,616-568-4113,vberlanga@berlanga.com,http://www.wellsdfredesq.com
Quentin,Swayze,Ulbrich Trucking,278 Bayview Ave,Milan,Monroe,48160,20,734-561-6170,734-851-8571,quentin_swayze@yahoo.com,http://www.ulbrichtrucking.com
Kenneth,Grenet,Bank Of New York,2167 Sierra Rd,East Lansing,Ingham,48823,22,517-499-2322,517-867-8077,kenneth.grenet@grenet.org,http://www.bankofnewyork.com
